ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,CITY,DISTRICT,STATE
UTIB0000585,AXIS BANK LTD,UTIB0000585,NON-MICR,"CHILLAKALLU, ANDHRA PRADESH",JAGGAYYAPETA ,KRISHNA,ANDHRA PRADESH
UTIB0000586,AXIS BANK LTD,UTIB0000586,NON-MICR,"FULIA, WEST BENGAL",FULIA,NADIA,WEST BENGAL
UTIB0000587,AXIS BANK LTD,UTIB0000587,NON-MICR,"AMBIKAPUR, CHATTISGARH",AMBIKAPUR,SURGUJA,CHHATTISGARH
UTIB0000588,AXIS BANK LTD,UTIB0000588,110211050,LOK VIHAR,NEW DELHI,NEW DELHI ,DELHI
UTIB0000589,AXIS BANK LTD,UTIB0000589,110211049,"TILAK NAGAR, NEW DELHI",NEW DELHI,NEW DELHI ,DELHI
UTIB0000590,AXIS BANK LTD,UTIB0000590,NON-MICR,"DURG, CHATTISGARH",DURG,DURG,CHHATTISGARH
UTIB0000591,AXIS BANK LTD,UTIB0000591,400211050,"BHIWANDI, MAHARASHTRA",BHIWANDI,THANE,MAHARASHTRA
UTIB0000592,AXIS BANK LTD,UTIB0000592,400211051,"BYCULLA, MUMBAI   ",MUMBAI,GREATER MUMBAI,MAHARASHTRA
UTIB0000593,AXIS BANK LTD,UTIB0000593,110211051,"EAST OF KAILASH, DELHI",NEW DELHI,NEW DELHI ,DELHI
UTIB0000594,AXIS BANK LTD,UTIB0000594,NON-MICR,"KALIMPONG, WEST BENGAL",KALIMPONG,DARJEELING ,WEST BENGAL
UTIB0000595,AXIS BANK LTD,UTIB0000595,NON-MICR,"BONGAIGAON, ASSAM",BONGAIGAON,BONGAIGAON,ASSAM
UTIB0000596,AXIS BANK LTD,UTIB0000596,NON-MICR,"TEZPUR, ASSAM",TEZPUR,SONITPUR,ASSAM
UTIB0000597,AXIS BANK LTD,UTIB0000597,NON-MICR,"DIBRUGARH, ASSAM",DIBRUGARH,DIBRUGARH,ASSAM
UTIB0000598,AXIS BANK LTD,UTIB0000598,600211018,"PERIYAR NAGAR, CHENNAI",CHENNAI,CHENNAI,TAMIL NADU
UTIB0000599,AXIS BANK LTD,UTIB0000599,NON-MICR,"KUMBAKONAM, TAMIL NADU",KUMBAKONAM,THANJAVUR,TAMIL NADU
UTIB0000600,AXIS BANK LTD,UTIB0000600,NON-MICR,"NANDYAL, ANDHRA PRADESH",NANDYAL,KURNOOL,ANDHRA PRADESH
UTIB0000601,AXIS BANK LTD,UTIB0000601,NON-MICR,"KASARGOD, KERALA",KASARGOD,KASARAGOD ,KERALA
UTIB0000602,AXIS BANK LTD,UTIB0000602,622211002,"PUDUKKOTTAI, TAMIL NADU",PUDUKKOTTAI,PUDUKKOTTAI,TAMIL NADU
UTIB0000603,AXIS BANK LTD,UTIB0000603,580211302,"DHARWAD, KARNATAKA",HUBLI-DHARWAD,DHARWAD,KARNATAKA
UTIB0000604,AXIS BANK LTD,UTIB0000604,403211006,"CANDOLIM, GOA",CANDOLIM,NORTH GOA ,GOA
UTIB0000605,AXIS BANK LTD,UTIB0000605,400211052,"ULHASNAGAR, MAHARASHTRA",MUMBAI,THANE,MAHARASHTRA
UTIB0000606,AXIS BANK LTD,UTIB0000606,NON-MICR,"ICHALKARANJI, MAHARASHTRA",ICHALKARANJI,KOLHAPUR ,MAHARASHTRA
UTIB0000607,AXIS BANK LTD,UTIB0000607,NON-MICR,"NAGAON, ASSAM",NAGAON,NAGAON,ASSAM
UTIB0000608,AXIS BANK LTD,UTIB0000608,781211004,"FANCY BAZAR, ASSAM",GUWAHATI,KAMRUP ,ASSAM
UTIB0000609,AXIS BANK LTD,UTIB0000609,NON-MICR,"SIRSA , HARYANA",SIRSA,SIRSA,HARYANA
UTIB0000610,AXIS BANK LTD,UTIB0000610,NON-MICR,"GARHSHANKAR, PUNJAB",GARHSHANKAR,HOSIARPUR ,PUNJAB
UTIB0000611,AXIS BANK LTD,UTIB0000611,636211003,"OMALUR, TAMIL NADU",OMALUR,SALEM,TAMIL NADU
UTIB0000612,AXIS BANK LTD,UTIB0000612,NON-MICR,"SAGAR, MADHYA PRADESH",SAGAR,SAGAR,MADHYA PRADESH
UTIB0000613,AXIS BANK LTD,UTIB0000613,NON-MICR,"HAZARIBAGH, JHARKHAND",HAZARIBAGH,HAZARIBAGH,JHARKHAND
UTIB0000614,AXIS BANK LTD,UTIB0000614,NON-MICR,"VIZIANAGARAM, ANDHRA PRADESH",VIZIANAGARAM,VIZIANAGARAM,ANDHRA PRADESH
UTIB0000615,AXIS BANK LTD,UTIB0000615,NON-MICR,"LASALGAON, MAHARASHTRA",LASALGAON,NASHIK,MAHARASHTRA
UTIB0000616,AXIS BANK LTD,UTIB0000616,686211003,"PALAI, KERALA",PALAI,KOTTAYAM,KERALA
UTIB0000617,AXIS BANK LTD,UTIB0000617,583211302,GANGAWATI (KARNATAKA),GANGAWATI,KOPPAL,KARNATAKA
UTIB0000618,AXIS BANK LTD,UTIB0000618,NON-MICR,"HOSPET, KARNATAKA",HOSPET,BELLARY,KARNATAKA
UTIB0000619,AXIS BANK LTD,UTIB0000619,NON-MICR,"SINDHNUR, KARNATAKA",SINDHNUR,RAICHUR,KARNATAKA
