ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,CITY,DISTRICT,STATE
SBIN0010317,STATE BANK OF INDIA,SBIN0010317,243002023,GREEN PARK(BAREILLY),BAREILLY,ERNAKULAM,KERALA
SBIN0010318,STATE BANK OF INDIA,SBIN0010318,125002011,JINDAL STAINLESS STEEL LTD.HISAR,HISSAR,BAREILLY,UTTAR PRADESH
SBIN0010319,STATE BANK OF INDIA,SBIN0010319,282002099,RETAIL ASSETS AND SMALL ENTREPRISES CREDIT CELL,AGRA,HISSAR,HARYANA
SBIN0010320,STATE BANK OF INDIA,SBIN0010320,281002039,RETAIL ASSETS SMALL & MEDIUM ENTERPRISES CITY CREDIT CELL (RASMECCC) MATHURA,MATHURA,AGRA,UTTAR PRADESH
SBIN0010321,STATE BANK OF INDIA,SBIN0010321,202002098,RETAIL ASSETS SMALL & MEDIUM ENTERPRISES CITY CREDIT CELL (RASMECCC) ALIGARH,ALIGARH,MATHURA,UTTAR PRADESH
SBIN0010322,STATE BANK OF INDIA,SBIN0010322,250002957,"SAARC, AGRA",AGRA,ALIGARH,UTTAR PRADESH
SBIN0010323,STATE BANK OF INDIA,SBIN0010323,110002427,ROHINI COURT,DELHI,AGRA,UTTAR PRADESH
SBIN0010324,STATE BANK OF INDIA,SBIN0010324,605002090,RASMECCC-CUM-SARC,PUDUCHERRY,NEW DELHI,DELHI
SBIN0010325,STATE BANK OF INDIA,SBIN0010325,636002090,"RASMECC, SALEM",SALEM,PONDICHERRY,PONDICHERRY
SBIN0010326,STATE BANK OF INDIA,SBIN0010326,175002003,"DEGREE COLLEGE, MANDI",MANDI,SALEM,TAMIL NADU
SBIN0010327,STATE BANK OF INDIA,SBIN0010327,781002035,SIXMILE,GUWAHATI,MANDI,HIMACHAL PRADESH
SBIN0010328,STATE BANK OF INDIA,SBIN0010328,500002095,MUSARAMBAGH CHOWRASTA,HYDERABAD,KAMRUP,ASSAM
SBIN0010329,STATE BANK OF INDIA,SBIN0010329,123002596,FARUKH NAGAR,GURGAON,HYDERABAD URBAN ,ANDHRA PRADESH
SBIN0010330,STATE BANK OF INDIA,SBIN0010330,400002169,VASHI,NAVI MUMBAI,GURGAON,HARYANA
SBIN0010331,STATE BANK OF INDIA,SBIN0010331,400002170,KOPAR KHAIRANE,NAVI MUMBAI,THANE,MAHARASHTRA
SBIN0010332,STATE BANK OF INDIA,SBIN0010332,833002808,"DRM OFFICE, S.E. RAILWAY",WEST SINGHBHUM,THANE,MAHARASHTRA
SBIN0010333,STATE BANK OF INDIA,SBIN0010333,834002024,DRM HATIA,RANCHI,PASCHIMI SINGHBHUM,JHARKHAND
SBIN0010334,STATE BANK OF INDIA,SBIN0010334,826002019,DRM OFFICE,DHANBAD,RANCHI,JHARKHAND
SBIN0010335,STATE BANK OF INDIA,SBIN0010335,842002508,MOTIPUR,MOTIPUR,DHANBAD,JHARKHAND
SBIN0010336,STATE BANK OF INDIA,SBIN0010336,854002712,KATIHAR MEDICAL COLLEGE ,KATIHAR,MUZAFFARPUR,BIHAR
SBIN0010338,STATE BANK OF INDIA,SBIN0010338,NON-MICR,"DOCTORS COLONY BRANCH, BIHARSHARIF",BIHARSHARIF,NALANDA,BIHAR
SBIN0010339,STATE BANK OF INDIA,SBIN0010339,852002721,B N MANDAL UNIVERSITY BRANCH,MADHEPURA,KATIHAR,BIHAR
SBIN0010340,STATE BANK OF INDIA,SBIN0010340,800002060,"HIGH COURT CAMPUS, PATNA",PATNA,MADHEPURA ,BIHAR
SBIN0010341,STATE BANK OF INDIA,SBIN0010341,211002053,"RED EAGLE CANTEEN, ALLAHABAD",ALLAHABAD,PATNA,BIHAR
SBIN0010342,STATE BANK OF INDIA,SBIN0010342,226002055,JANKIPURAM,JANKIPURAM,ALLAHABAD,UTTAR PRADESH
SBIN0010343,STATE BANK OF INDIA,SBIN0010343,226002056,"INDIAN INSTITUTE OF SUGARCANE RESEARCH, LUCKNOW",LUCKNOW,LUCKNOW,UTTAR PRADESH
SBIN0010344,STATE BANK OF INDIA,SBIN0010344,224002021,NTPC  TANDA,AMBEDKAR NAGAR,LUCKNOW,UTTAR PRADESH
SBIN0010345,STATE BANK OF INDIA,SBIN0010345,224002020,DOGRA REGIMENT CENTRE (FAIZABAD),FAIZABAD,AMBEDKARNAGAR ,UTTAR PRADESH
SBIN0010346,STATE BANK OF INDIA,SBIN0010346,206002024,NTPC AURIYA,AURIYA,FAIZABAD,UTTAR PRADESH
SBIN0010347,STATE BANK OF INDIA,SBIN0010347,180002020,BAN TALAB,JAMMU,AURAIYA,UTTAR PRADESH
SBIN0010348,STATE BANK OF INDIA,SBIN0010348,462002044,"M.P. ADIVASI VITTA VIKAS NIGAM, BHOPAL",BHOPAL,JAMMU,JAMMU & KASHMIR
SBIN0010349,STATE BANK OF INDIA,SBIN0010349,495002315,DIPKA,KORBA,BHOPAL,MADHYA PRADESH
SBIN0010350,STATE BANK OF INDIA,SBIN0010350,271002030,DATAULI,GONDA,KORBA,CHHATTISGARH
SBIN0010351,STATE BANK OF INDIA,SBIN0010351,NON-MICR,RBO FEROZEPUR,FEROZEPUR,FEROZEPUR,PUNJAB
SBIN0010352,STATE BANK OF INDIA,SBIN0010352,844002122,MAHUA,MAHUA,GONDA,UTTAR PRADESH
SBIN0010353,STATE BANK OF INDIA,SBIN0010353,800002064,SIPARA,PATNA,VAISHALI,BIHAR
SBIN0010354,STATE BANK OF INDIA,SBIN0010354,800002067,BAHADURPUR,BAHADURPUR,PATNA,BIHAR
SBIN0010356,STATE BANK OF INDIA,SBIN0010356,500002096,"OSMANIA GENERAL HOSPITAL, HYDERABAD",HYDERABAD,HYDERABAD URBAN ,ANDHRA PRADESH
SBIN0010357,STATE BANK OF INDIA,SBIN0010357,522002801,BAPATLA ENGINEERING COLLEGE,BAPATLA,GUNTUR,ANDHRA PRADESH
SBIN0010358,STATE BANK OF INDIA,SBIN0010358,500002102,NATIONAL REMOTE SENSING AGENCY(NRSA),HYDERABAD,RANGA REDDY,ANDHRA PRADESH
SBIN0010359,STATE BANK OF INDIA,SBIN0010359,560002111,AIR CRAFT FACTORY,BANGALORE,BANGALORE URBAN ,KARNATAKA
SBIN0010360,STATE BANK OF INDIA,SBIN0010360,560002113,HELICOPTER FACTORY,BANGALORE,BANGALORE URBAN ,KARNATAKA
SBIN0010361,STATE BANK OF INDIA,SBIN0010361,560002112,AERO ENGINE FACTORY,BANGALORE,BANGALORE URBAN ,KARNATAKA
SBIN0010363,STATE BANK OF INDIA,SBIN0010363,560002099,SARJAPURA ROAD,BANGALORE,BANGALORE URBAN,KARNATAKA
SBIN0010364,STATE BANK OF INDIA,SBIN0010364,571002111,GUNDLUPET,CHAMRAJNAGAR ,BANGALORE RURAL,KARNATAKA
SBIN0010365,STATE BANK OF INDIA,SBIN0010365,560002100,KASTURI NAGAR,BANGALORE,BANGALORE URBAN,KARNATAKA
SBIN0010366,STATE BANK OF INDIA,SBIN0010366,560002101,MARATHAHALLI,BANGALORE,BANGALORE URBAN,KARNATAKA
SBIN0010367,STATE BANK OF INDIA,SBIN0010367,177002003,NIT HAMIRPUR,HAMIRPUR,HAMIRPUR,HIMACHAL PRADESH
SBIN0010368,STATE BANK OF INDIA,SBIN0010368,560002114,KIOCL CAMPUS ,BANGALORE,BANGALORE URBAN ,KARNATAKA
SBIN0010369,STATE BANK OF INDIA,SBIN0010369,560002115,B.E.L.FACTORY CAMPUS,BANGALORE,BANGALORE RURAL ,KARNATAKA
SBIN0010370,STATE BANK OF INDIA,SBIN0010370,560002109,CPRI BANGALORE,BANGALORE,BANGALORE URBAN,KARNATAKA
SBIN0010372,STATE BANK OF INDIA,SBIN0010372,530002045,"HPCL REFINERY, VIZAG",VISAKHAPATNAM,VISHAKAPATNAM ,ANDHRA PRADESH
SBIN0010373,STATE BANK OF INDIA,SBIN0010373,530002093,"AIRPORT, VISAKHAPATNAM",VISAKHAPATNAM,VISHAKAPATNAM ,ANDHRA PRADESH
