ID,BANK NAME,IFSC_CODE,MICR_CODE,BRANCH_NAME,POSTAL ADDRESS,CONTACT NO/FAX NO,CENTRE/CITY,DISTRICT,STATE
KACE0000155,The Kangra Central Cooperative Bank Ltd,KACE0000155,176850167,SANTALA,TESHIL DEHRA DISTT. KANGRA H.P. 177034,SH. RAKESH KUMAR,SHANTLA,KANGRA,HIMACHAL PRADESH
KACE0000156,The Kangra Central Cooperative Bank Ltd,KACE0000156,176850182,LUBH,TESHIL JAWALI DISTT. KANGRA H.P. 176023,SH. RAVINDER SINGH,LUBH,KANGRA,HIMACHAL PRADESH
KACE0000157,The Kangra Central Cooperative Bank Ltd,KACE0000157,174850112,LATHIANI,TEHSIL BANGANA DISTT. UNA H.P.,SH. JAGDEV SINGH,LATHIANI,HAMIRPUR,HIMACHAL PRADESH
KACE0000158,The Kangra Central Cooperative Bank Ltd,KACE0000158,176850065,MAKROLI,TESHIL INDORA DISTT. KANGRA H.P. 176022,SH. SUBHASH CHAND,MAKROLI,KANGRA,HIMACHAL PRADESH
KACE0000159,The Kangra Central Cooperative Bank Ltd,KACE0000159,177850030,TIKKER KHATRIAN,TESHIL BHORANJ DISTT. HAMIRPUR H.P. 177025,SH. NEERAJ KUMAR,TIKKERBUHLA,HAMIRPUR,HIMACHAL PRADESH
KACE0000161,The Kangra Central Cooperative Bank Ltd,KACE0000161,,UDAIPUR,TESHIL UDAIPUR DISTT. LAHUL & SPITI H.P. 175142,SJH. JAI CHAND,UDAIPUR,LAHUL & SPITI,HIMACHAL PRADESH
KACE0000162,The Kangra Central Cooperative Bank Ltd,KACE0000162,174850115,REGIONAL HOSPITAL UNA,TESHIL & DISTT.UNA H.P. 174303,SH. DIBAGH SINGH,UNA,UNA,HIMACHAL PRADESH
KACE0000164,The Kangra Central Cooperative Bank Ltd,KACE0000164,176850070,MCLEODGANJ,BHAGSU ROAD P.O. MCLEODGANJ DISTT. KANGRA H.P.176219,SH.RAVI KANT,MCLEODGANJ,KANGRA,HIMACHAL PRADESH
KACE0000165,The Kangra Central Cooperative Bank Ltd,KACE0000165,176850153,CHALWARA,TESHIL NURPUR DISTT. KANGRA H.P.,SH. GURBAX SINGH,CHALWARA,KANGRA,HIMACHAL PRADESH
KACE0000166,The Kangra Central Cooperative Bank Ltd,KACE0000166,177850031,KUTHERA,TESHIL & DISTT. HAMIRPUR H.P.,SH. KARTAR CHAND,KUTHERA BUHLA,HAMIRPUR,HIMACHAL PRADESH
KACE0000167,The Kangra Central Cooperative Bank Ltd,KACE0000167,177850032,AWAHDEVI,TESHIL & DISTT. HAMIRPUR H.P.,SH. SUSHIL KUMAR,AWAH BUHLA,HAMIRPUR,HIMACHAL PRADESH
KACE0000168,The Kangra Central Cooperative Bank Ltd,KACE0000168,177850033,PUCA BAROH,TESHIL & DISTT. HAMIRPUR H.P.,SMT. SHIWANI,HAMIRPUR,HAMIRPUR,HIMACHAL PRADESH
KACE0000169,The Kangra Central Cooperative Bank Ltd,KACE0000169,177850034,KALE AMB,TESHIL & DISTT. HAMIRPUR H.P.,SH. LALIT KUMAR,SWAHAL,HAMIRPUR,HIMACHAL PRADESH
KACE0000170,The Kangra Central Cooperative Bank Ltd,KACE0000170,176850081,BARANDA,TESHIL NURPUR DISTT. KANGRA H.P. 176201,SH. DINESH KUMAR,VARANDA,KANGRA,HIMACHAL PRADESH
KACE0000171,The Kangra Central Cooperative Bank Ltd,KACE0000171,176850130,PAHRA,TESHIL PALAMPUR DISTT. KANGRA H.P.176087,SH. RAJESH KUMAR,PAHRA,KANGRA,HIMACHAL PRADESH
KACE0000172,The Kangra Central Cooperative Bank Ltd,KACE0000172,176850129,THAKURDWARA,TESHIL PALAMPUR DISTT. KANGRA H.P.176102,SH. SANJAY KUMAR,THKURDWARA,KANGRA,HIMACHAL PRADESH
KACE0000173,The Kangra Central Cooperative Bank Ltd,KACE0000173,176850131,BHERI,TESHIL JAISINGHPUR DISTT. KANGRA H.P.176082,SH. AJEET RANA,BHERI,KANGRA,HIMACHAL PRADESH
KACE0000174,The Kangra Central Cooperative Bank Ltd,KACE0000174,177850036,UKHLI,TESHIL & DISTT. HAMIRPUR H.P. 176042,SH. HEMANT KUMAR,UKHALI,HAMIRPUR,HIMACHAL PRADESH
KACE0000175,The Kangra Central Cooperative Bank Ltd,KACE0000175,177850035,JALARI,TESHIL NADAUN DIST. HAMIRPUR H.P. 177042,SH. DINESH KUAMR,JALARI SAUNKLIAN,HAMIRPUR,HIMACHAL PRADESH
KACE0000178,The Kangra Central Cooperative Bank Ltd,KACE0000178,176850082,GANOH,TESHIL NURPUR DISTT. KANGRA H.P. 176051,SH. SUDHIR DUTT GOUTAM,GUNOH,KANGRA,HIMACHAL PRADESH
KACE0000180,The Kangra Central Cooperative Bank Ltd,KACE0000180,174850117,TAHLIWAL,TESHIL & DISTT. UNA H.P.,SH. KRISHAN PAL SINGH,TAHLIWALA,UNA,HIMACHAL PRADESH
